name,url,date,wins,cluster
Joe Devlin,http://boxrec.com/boxer/69735,1958-02-27,11,2
Joe Devlin,http://boxrec.com/boxer/69735,1958-03-17,12,2
Joe Devlin,http://boxrec.com/boxer/69735,1958-04-07,13,2
Dick Tobin,http://boxrec.com/boxer/118985,1958-06-18,11,2
Laszlo Papp,http://boxrec.com/boxer/34798,1958-10-17,4,0
Laszlo Papp,http://boxrec.com/boxer/34798,1958-12-15,5,0
Laszlo Papp,http://boxrec.com/boxer/34798,1959-02-09,6,0
Laszlo Papp,http://boxrec.com/boxer/34798,1959-03-16,7,0
Laszlo Papp,http://boxrec.com/boxer/34798,1959-09-18,8,0
Ray Schlamp,http://boxrec.com/boxer/32768,1960-01-15,1,0
Ray Schlamp,http://boxrec.com/boxer/32768,1960-01-24,2,0
Ray Schlamp,http://boxrec.com/boxer/32768,1960-01-30,3,0
Ray Schlamp,http://boxrec.com/boxer/32768,1960-02-09,4,0
Laszlo Papp,http://boxrec.com/boxer/34798,1960-02-10,9,2
Ray Schlamp,http://boxrec.com/boxer/32768,1960-04-04,5,0
Ray Schlamp,http://boxrec.com/boxer/32768,1960-04-11,6,0
Joe Devlin,http://boxrec.com/boxer/69735,1960-04-12,14,2
Joe Devlin,http://boxrec.com/boxer/69735,1960-04-29,15,2
Dick Tobin,http://boxrec.com/boxer/118985,1960-06-07,12,2
Ray Schlamp,http://boxrec.com/boxer/32768,1960-06-09,7,0
Ray Schlamp,http://boxrec.com/boxer/32768,1960-06-23,8,0
Laszlo Papp,http://boxrec.com/boxer/34798,1960-09-23,10,2
Laszlo Papp,http://boxrec.com/boxer/34798,1960-10-01,11,2
Laszlo Papp,http://boxrec.com/boxer/34798,1961-02-20,12,2
Laszlo Papp,http://boxrec.com/boxer/34798,1961-04-08,13,2
Ray Schlamp,http://boxrec.com/boxer/32768,1961-05-05,9,2
Ray Schlamp,http://boxrec.com/boxer/32768,1961-06-20,10,2
Ray Schlamp,http://boxrec.com/boxer/32768,1961-06-27,11,2
Laszlo Papp,http://boxrec.com/boxer/34798,1961-09-10,14,2
Ray Schlamp,http://boxrec.com/boxer/32768,1961-10-02,12,2
Laszlo Papp,http://boxrec.com/boxer/34798,1961-10-13,15,2
Laszlo Papp,http://boxrec.com/boxer/34798,1961-12-02,16,2
Laszlo Papp,http://boxrec.com/boxer/34798,1962-03-21,17,2
Laszlo Papp,http://boxrec.com/boxer/34798,1962-05-16,18,1
Ray Schlamp,http://boxrec.com/boxer/32768,1962-09-20,13,2
Ray Schlamp,http://boxrec.com/boxer/32768,1962-09-21,14,2
Laszlo Papp,http://boxrec.com/boxer/34798,1962-11-19,19,1
Laszlo Papp,http://boxrec.com/boxer/34798,1963-02-06,20,1
Laszlo Papp,http://boxrec.com/boxer/34798,1963-03-30,21,1
Laszlo Papp,http://boxrec.com/boxer/34798,1963-05-17,22,1
Laszlo Papp,http://boxrec.com/boxer/34798,1963-06-14,23,1
Laszlo Papp,http://boxrec.com/boxer/34798,1963-12-06,24,1
Laszlo Papp,http://boxrec.com/boxer/34798,1964-03-13,25,1
Ray Schlamp,http://boxrec.com/boxer/32768,1964-06-11,15,2
Laszlo Papp,http://boxrec.com/boxer/34798,1964-07-02,26,1
Laszlo Papp,http://boxrec.com/boxer/34798,1964-10-09,27,1
Agustin Senin,http://boxrec.com/boxer/79869,1967-02-25,1,0
Agustin Senin,http://boxrec.com/boxer/79869,1967-03-11,2,0
Alex Mack,http://boxrec.com/boxer/93050,1967-10-04,1,0
Agustin Senin,http://boxrec.com/boxer/79869,1967-10-15,3,0
Alex Mack,http://boxrec.com/boxer/93050,1967-10-19,2,0
Agustin Senin,http://boxrec.com/boxer/79869,1967-11-03,4,0
Alex Mack,http://boxrec.com/boxer/93050,1967-11-06,3,0
Agustin Senin,http://boxrec.com/boxer/79869,1967-11-16,5,0
Agustin Senin,http://boxrec.com/boxer/79869,1967-12-01,6,0
Alex Mack,http://boxrec.com/boxer/93050,1967-12-11,4,0
Agustin Senin,http://boxrec.com/boxer/79869,1967-12-15,7,0
Alex Mack,http://boxrec.com/boxer/93050,1968-01-25,5,0
Agustin Senin,http://boxrec.com/boxer/79869,1968-02-02,8,0
Agustin Senin,http://boxrec.com/boxer/79869,1968-03-01,9,2
Alex Mack,http://boxrec.com/boxer/93050,1968-03-22,6,0
Alex Mack,http://boxrec.com/boxer/93050,1968-05-18,7,0
Agustin Senin,http://boxrec.com/boxer/79869,1968-05-31,10,2
Alex Mack,http://boxrec.com/boxer/93050,1968-06-17,8,0
Alex Mack,http://boxrec.com/boxer/93050,1968-08-07,9,2
Agustin Senin,http://boxrec.com/boxer/79869,1968-09-27,11,2
Agustin Senin,http://boxrec.com/boxer/79869,1968-10-30,12,2
Agustin Senin,http://boxrec.com/boxer/79869,1968-11-09,13,2
Agustin Senin,http://boxrec.com/boxer/79869,1968-12-05,14,2
Alex Mack,http://boxrec.com/boxer/93050,1969-01-21,10,2
Alex Mack,http://boxrec.com/boxer/93050,1969-03-03,11,2
Agustin Senin,http://boxrec.com/boxer/79869,1969-03-06,15,2
Roberto Ayala,http://boxrec.com/boxer/94505,1969-03-11,1,0
Alex Mack,http://boxrec.com/boxer/93050,1969-03-18,12,2
Agustin Senin,http://boxrec.com/boxer/79869,1969-04-17,16,2
Agustin Senin,http://boxrec.com/boxer/79869,1969-05-14,17,2
Agustin Senin,http://boxrec.com/boxer/79869,1969-08-20,18,1
Agustin Senin,http://boxrec.com/boxer/79869,1969-09-10,19,1
Agustin Senin,http://boxrec.com/boxer/79869,1969-10-10,20,1
Agustin Senin,http://boxrec.com/boxer/79869,1969-10-23,21,1
Agustin Senin,http://boxrec.com/boxer/79869,1969-11-07,22,1
Alex Mack,http://boxrec.com/boxer/93050,1969-11-25,13,2
Agustin Senin,http://boxrec.com/boxer/79869,1969-11-28,23,1
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1969-11-29,1,0
Agustin Senin,http://boxrec.com/boxer/79869,1969-12-19,24,1
Agustin Senin,http://boxrec.com/boxer/79869,1970-01-29,25,1
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-01-30,2,0
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-02-20,3,0
Agustin Senin,http://boxrec.com/boxer/79869,1970-03-04,26,1
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-03-21,4,0
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-05-08,5,0
Agustin Senin,http://boxrec.com/boxer/79869,1970-05-23,27,1
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-06-19,6,0
Agustin Senin,http://boxrec.com/boxer/79869,1970-06-22,28,1
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-07-03,7,0
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-08-07,8,0
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-08-21,9,2
Agustin Senin,http://boxrec.com/boxer/79869,1970-09-01,29,1
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-09-11,10,2
Agustin Senin,http://boxrec.com/boxer/79869,1970-09-13,30,1
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-09-29,11,2
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-10-16,12,2
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-11-06,13,2
Agustin Senin,http://boxrec.com/boxer/79869,1970-11-06,31,1
Roberto Ayala,http://boxrec.com/boxer/94505,1970-12-01,2,0
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-12-04,14,2
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1970-12-18,15,2
Agustin Senin,http://boxrec.com/boxer/79869,1970-12-25,32,3
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1971-01-22,16,2
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1971-02-05,17,2
Agustin Senin,http://boxrec.com/boxer/79869,1971-02-19,33,3
Roberto Ayala,http://boxrec.com/boxer/94505,1971-03-02,3,0
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1971-03-05,18,1
Roberto Ayala,http://boxrec.com/boxer/94505,1971-03-16,4,0
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1971-05-07,19,1
Agustin Senin,http://boxrec.com/boxer/79869,1971-05-08,34,3
Roberto Ayala,http://boxrec.com/boxer/94505,1971-05-18,5,0
Roberto Ayala,http://boxrec.com/boxer/94505,1971-06-01,6,0
Roberto Ayala,http://boxrec.com/boxer/94505,1971-06-22,7,0
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1971-06-25,20,1
Roberto Ayala,http://boxrec.com/boxer/94505,1971-07-06,8,0
Agustin Senin,http://boxrec.com/boxer/79869,1971-07-08,35,3
Roberto Ayala,http://boxrec.com/boxer/94505,1971-07-31,9,2
Agustin Senin,http://boxrec.com/boxer/79869,1971-08-10,36,3
Roberto Ayala,http://boxrec.com/boxer/94505,1971-10-06,10,2
Roberto Ayala,http://boxrec.com/boxer/94505,1971-12-08,11,2
Agustin Senin,http://boxrec.com/boxer/79869,1971-12-29,37,3
Agustin Senin,http://boxrec.com/boxer/79869,1972-02-02,38,3
Agustin Senin,http://boxrec.com/boxer/79869,1972-05-03,39,3
Roberto Ayala,http://boxrec.com/boxer/94505,1972-06-06,12,2
Agustin Senin,http://boxrec.com/boxer/79869,1972-06-21,40,3
Roberto Ayala,http://boxrec.com/boxer/94505,1972-07-09,13,2
Agustin Senin,http://boxrec.com/boxer/79869,1972-08-15,41,3
Agustin Senin,http://boxrec.com/boxer/79869,1972-09-27,42,3
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1973-06-09,1,0
Roberto Ayala,http://boxrec.com/boxer/94505,1973-07-31,14,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1973-10-06,2,0
Roberto Ayala,http://boxrec.com/boxer/94505,1973-10-09,15,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1973-12-01,3,0
Roberto Ayala,http://boxrec.com/boxer/94505,1973-12-04,16,2
Roberto Ayala,http://boxrec.com/boxer/94505,1973-12-18,17,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1974-03-09,4,0
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1974-05-18,5,0
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1974-06-01,6,0
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1974-07-06,7,0
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1974-07-20,8,0
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1974-08-31,9,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1974-10-05,10,2
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1974-10-19,11,2
